NDB_No	Nutr_No	Flav_Val
1001	710	0
1001	711	0
1001	712	0
1001	731	0
1001	740	0
1001	741	0
1001	742	0
1001	743	0
1001	745	0
1001	749	0
1001	750	0
1001	751	0
1001	752	0
1001	753	0
1001	755	0
1001	756	0
1001	758	0
1001	759	0
1001	762	0
1001	770	0
1001	773	0
1001	785	0
1001	786	0
1001	788	0
1001	789	0
1001	791	0
1001	792	0
1001	793	0
1001	794	0
1002	710	0
1002	711	0
1002	712	0
1002	731	0
1002	740	0
1002	741	0
1002	742	0
1002	743	0
1002	745	0
1002	749	0
1002	750	0
1002	751	0
1002	752	0
1002	753	0
1002	755	0
1002	756	0
1002	758	0
1002	759	0
1002	762	0
1002	770	0
1002	773	0
1002	785	0
1002	786	0
1002	788	0
1002	789	0
1002	791	0
1002	792	0
1002	793	0
1002	794	0
1003	710	0
1003	711	0
1003	712	0
1003	731	0
1003	740	0
1003	741	0
1003	742	0
1003	743	0
1003	745	0
1003	749	0
1003	750	0
1003	751	0
1003	752	0
1003	753	0
1003	755	0
1003	756	0
1003	758	0
1003	759	0
1003	762	0
1003	770	0
1003	773	0
1003	785	0
1003	786	0
1003	788	0
1003	789	0
1003	791	0
1003	792	0
1003	793	0
1003	794	0
1004	710	0
1004	711	0
1004	712	0
1004	731	0
1004	740	0
1004	741	0
1004	742	0
1004	743	0
1004	745	0
1004	749	0
1004	750	0
1004	751	0
1004	752	0
1004	753	0
1004	755	0
1004	756	0
1004	758	0
1004	759	0
1004	762	0
1004	770	0
1004	773	0
1004	785	0
1004	786	0
1004	788	0
1004	789	0
1004	791	0
1004	792	0
1004	793	0
1004	794	0
1005	710	0
1005	711	0
1005	712	0
1005	731	0
1005	740	0
1005	741	0
1005	742	0
1005	743	0
1005	745	0
1005	749	0
1005	750	0
1005	751	0
1005	752	0
1005	753	0
1005	755	0
1005	756	0
1005	758	0
1005	759	0
1005	762	0
1005	770	0
1005	773	0
1005	785	0
1005	786	0
1005	788	0
1005	789	0
1005	791	0
1005	792	0
1005	793	0
1005	794	0
1006	710	0
1006	711	0
1006	712	0
1006	731	0
1006	740	0
1006	741	0
1006	742	0
1006	743	0
1006	745	0
1006	749	0
1006	750	0
1006	751	0
1006	752	0
1006	753	0
1006	755	0
1006	756	0
1006	758	0
1006	759	0
1006	762	0
1006	770	0
1006	773	0
1006	785	0
1006	786	0
1006	788	0
1006	789	0
1006	791	0
1006	792	0
1006	793	0
1006	794	0
1007	710	0
1007	711	0
1007	712	0
1007	731	0
1007	740	0
1007	741	0
1007	742	0
1007	743	0
1007	745	0
1007	749	0
1007	750	0
1007	751	0
1007	752	0
1007	753	0
1007	755	0
1007	756	0
1007	758	0
1007	759	0
1007	762	0
1007	770	0
1007	773	0
1007	785	0
1007	786	0
1007	788	0
1007	789	0
1007	791	0
1007	792	0
1007	793	0
1007	794	0
1009	710	0
1009	711	0
1009	712	0
1009	731	0
1009	740	0
1009	741	0
1009	742	0
1009	743	0
1009	745	0
1009	749	0
1009	750	0
1009	751	0
1009	752	0
1009	753	0
1009	755	0
1009	756	0
1009	758	0
1009	759	0
1009	762	0
1009	770	0
1009	773	0
1009	785	0
1009	786	0
1009	788	0
1009	789	0
1009	791	0
1009	792	0
1009	793	0
1009	794	0
1011	710	0
1011	711	0
1011	712	0
1011	731	0
1011	740	0
1011	741	0
1011	742	0
1011	743	0
1011	745	0
1011	749	0
1011	750	0
1011	751	0
1011	752	0
1011	753	0
1011	755	0
1011	756	0
1011	758	0
1011	759	0
1011	762	0
1011	770	0
1011	773	0
1011	785	0
1011	786	0
1011	788	0
1011	789	0
1011	791	0
1011	792	0
1011	793	0
1011	794	0
1012	710	0
1012	711	0
1012	712	0
1012	731	0
1012	740	0
1012	741	0
1012	742	0
1012	743	0
1012	745	0
1012	749	0
1012	750	0
1012	751	0
1012	752	0
1012	753	0
1012	755	0
1012	756	0
1012	758	0
1012	759	0
1012	762	0
1012	770	0
1012	773	0
1012	785	0
1012	786	0
1012	788	0
1012	789	0
1012	791	0
1012	792	0
1012	793	0
1012	794	0
1013	710	0
1013	711	0
1013	712	0
1013	731	0
1013	740	0
1013	741	0
1013	742	0
1013	743	0
1013	745	0
1013	749	0
1013	750	0
1013	751	0
1013	752	0
1013	753	0
1013	755	0
1013	756	0
1013	758	0
1013	759	0
1013	762	0
1013	770	0.01
1013	773	0.01
1013	785	0
1013	786	0.01
1013	788	0.01
1013	789	0.2
1013	791	0
1013	792	0
1013	793	0
1013	794	0
1014	710	0
1014	711	0
1014	712	0
1014	731	0
1014	740	0
1014	741	0
1014	742	0
1014	743	0
1014	745	0
1014	749	0
1014	750	0
1014	751	0
1014	752	0
1014	753	0
1014	755	0
1014	756	0
1014	758	0
1014	759	0
1014	762	0
1014	770	0
1014	773	0
1014	785	0
1014	786	0
1014	788	0
1014	789	0
1014	791	0
1014	792	0
1014	793	0
1014	794	0
1015	710	0
1015	711	0
1015	712	0
1015	731	0
1015	740	0
1015	741	0
1015	742	0
1015	743	0
1015	745	0
1015	749	0
1015	750	0
1015	751	0
1015	752	0
1015	753	0
1015	755	0
1015	756	0
1015	758	0
1015	759	0
1015	762	0
1015	770	0
1015	773	0
1015	785	0
1015	786	0
1015	788	0
1015	789	0
1015	791	0
1015	792	0
1015	793	0
1015	794	0
1016	710	0
1016	711	0
1016	712	0
1016	731	0
1016	740	0
1016	741	0
1016	742	0
1016	743	0
1016	745	0
1016	749	0
1016	750	0
1016	751	0
1016	752	0
1016	753	0
1016	755	0
1016	756	0
1016	758	0
1016	759	0
1016	762	0
1016	770	0
1016	773	0
1016	785	0
1016	786	0
1016	788	0
1016	789	0
1016	791	0
1016	792	0
1016	793	0
1016	794	0
1017	710	0
1017	711	0
1017	712	0
1017	731	0
1017	740	0
1017	741	0
1017	742	0
1017	743	0
1017	745	0
1017	749	0
1017	750	0
1017	751	0
1017	752	0
1017	753	0
1017	755	0
1017	756	0
1017	758	0
1017	759	0
1017	762	0
1017	770	0
1017	773	0
1017	785	0
1017	786	0
1017	788	0
1017	789	0
1017	791	0
1017	792	0
1017	793	0
1017	794	0
1018	710	0
1018	711	0
1018	712	0
1018	731	0
1018	740	0
1018	741	0
1018	742	0
1018	743	0
1018	745	0
1018	749	0
1018	750	0
1018	751	0
1018	752	0
1018	753	0
1018	755	0
1018	756	0
1018	758	0
1018	759	0
1018	762	0
1018	770	0
1018	773	0
1018	785	0
1018	786	0
1018	788	0
1018	789	0
1018	791	0
1018	792	0
1018	793	0
1018	794	0
1019	710	0
1019	711	0
1019	712	0
1019	731	0
1019	740	0
1019	741	0
1019	742	0
1019	743	0
1019	745	0
